ticker,company,sector,industry,market_cap,roic_5y_avg,roe_5y_avg,gross_margin_5y_avg,operating_margin_5y_avg,fcf_margin_5y_avg,revenue_cagr_5y,eps_cagr_5y,debt_to_equity,interest_coverage,current_ratio,fcf_yield,pe,ev_ebit,shares_change_5y_pct
INSM,Insmed Incorporated,Healthcare,Biotechnology,37181383480,-0.48652101896480665,-1.8410830286298272,0.7769070763938181,-2.1068833307555908,-1.795076831458936,0.3393329189905241,,1.0394911336768717,-14.04295005668596,3.8266314617573163,-0.02602310375353467,-27.15132605304212,,0.905584643790529
INTC,Intel Corporation,Technology,Semiconductors,175787200000,0.013418611075513209,0.022403088996371813,0.41104004759759516,0.012915771848265839,-0.13776182005913598,-0.09566849990677329,,0.4076355649670549,-0.021081576535288724,2.017038796516231,-0.0281533581512192,-614.6010186757215,,0.19635378171963547
INTU,Intuit Inc.,Technology,Software - Application,219836400000,0.1225380047026344,0.16593276615507993,0.8024510393915584,0.23289956629492248,0.3105389451730623,0.1824368498871769,0.15999305945129483,0.33683409436834094,19.931174089068826,1.3603664416586307,0.02767057684714633,56.81114327062229,45.41771277676214,0.03703703703703698
IONQ,"IonQ, Inc.",Technology,Computer Hardware,12579082214.019999,-0.21880619493118333,-0.31771670089832965,0.21612992279364907,-8.71247618012101,-6.466036932951096,1.805408383777253,,0.007901267450573323,0,15.503905289974524,-0.023817635889689694,-24.653846153846153,,0.45799412961197206
IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,Biotechnology,12657600000,-0.12513256211504203,-0.6011167463750587,0.9836281069485245,-0.4526202513356428,-0.4050111248134627,0.03886864375522814,,5.345295028103269,-4.218943276197208,3.8256477051871434,-0.025283387055997978,-33.23949579831933,,0.1345827926337213
IOT,,,,16086202497.75,-0.10749758270260212,-0.2174748582925125,0.7388987805238723,-0.33393265705925473,-0.09224313046085955,0.3942440708455175,,0.05122894412815121,0,1.6434629753619807,0.012895772015117645,-1764.1509433962265,,0.13454045983098384
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,20797920000,0.02901600183786112,0.047414998544755435,0.27013941944462083,0.026739558137103936,0.04121596575547002,0.06485195474407734,,0.7286032238483847,-7.580645161290323,1.2794024560070896,-0.007644995268757645,-5.870342771982116,,0.3561643847227436
IQV,IQVIA Holdings Inc.,Healthcare,Medical - Diagnostics & Research,38747979000,0.07804590725529921,0.20135052746767065,0.32895416561613205,0.12806991101888426,0.12781407021372387,0.04126930851357491,0.1218317208616384,2.4871597724127326,3.1371742112482854,0.7494603022307508,0.052931792907186206,28.496839443742097,23.149094446873633,-0.10188087774294674
IR,Ingersoll Rand Inc.,Industrials,Industrial - Machinery,31537482000,0.055940536913587316,0.06956929413268605,0.40434975840035453,0.15645929940914322,0.1506679484259478,0.1038898458967672,0.019919278681913122,0.48063390751055524,5.5848759354076405,2.0558486183032474,0.038687299131871085,54.26027397260274,24.780100141043725,-0.040260366441658646
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,24503678850,0.05171261916028963,0.3531661527502479,0.5078263571872643,0.1863769863633217,-0.049101659350752294,0.1133738099096222,-0.2501643311819921,-19.42038741823453,1.6947569980767723,0.7386852279980577,-0.038019964500146886,169.2857142857143,30.875860795833763,0.02054191123379301
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical - Devices,202133884000,0.1248681841993391,0.13981101574823432,0.6732046156419665,0.2788532868479508,0.1933655886004304,0.15223026940429696,0.1399799261065897,0.016988330341113106,50.0,4.874638620277141,0.01232203107520558,70.795,67.5840040740112,0.0022465599550687276
IT,"Gartner, Inc.",Industrials,Consulting Services,18164160000,0.20969525966300973,2.0366098133410384,0.6834410344772687,0.18921897368500573,0.20515792507912228,0.08237138670246735,0.011735341363363627,11.309970366480362,9.151902348490257,0.9985867215180797,0.06470010173880873,26.06198347107438,19.557703632350304,-0.1532001975866205
ITW,Illinois Tool Works Inc.,Industrials,Industrial - Machinery,71988160068,0.24183797285327807,0.9419984943944415,0.41906736790659715,0.2520470889824303,0.16340327879977262,0.026416534195828678,0.053686660592671354,2.7810852713178296,14.438356164383562,1.2095200936402652,0.037603405857893415,23.412547528517113,19.000512350094876,-0.07242665820374483
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,17755620240,0.05100029922264911,0.10903849673479984,0.24479021776876628,0.05967009726616299,0.05785138620846379,-0.03879411636834118,-0.06544343902902139,0.7443011947625897,5.9239032019096225,1.300940135766551,0.03421294169332831,61.86610878661088,22.266410585965815,-0.07765334099615451
JAZZ,Jazz Pharmaceuticals plc,Healthcare,Biotechnology,10367321820,0.02865885671764947,0.0019578141662110276,0.8737538928159679,0.08334647383697542,0.2653367388603854,0.08369517964289286,,1.2559362050153475,1.1505760031991632,1.8577498270919202,0.11054166349781548,-29.10958904109589,64.16194928282113,0.021614333098803895
JBL,Jabil Inc.,Technology,"Hardware, Equipment & Parts",22428885000,0.17831639993929435,0.4501876292327721,0.08464506764772181,0.04625656466123038,0.021836638657990882,0.004384600809504091,0.06626230765478769,2.2247191011235956,4.844262295081967,1.0004375091147732,0.052254046511897495,34.138333333333335,20.18771996615905,-0.26262626262626265
JBTM,JBT Marel Corporation,Industrials,Industrial - Machinery,7834839999.999999,0.047559144638644815,0.1491599736224079,0.34908448694797817,0.07817230340529366,0.06531200835071321,0.28321794432627256,,0.4215914691518437,1.761860465116279,0.9752356311217889,0.03038989947465424,-153.74489795918367,50.31805702217529,0.625
JCI,Johnson Controls International plc,Industrials,Industrial - Machinery,71665410000,0.07004180084038522,0.13192765051243024,0.35005974124706807,0.10977326563365723,0.06897079332120011,-0.0007613896640809026,0.03748654428430753,0.8656300765838941,18.012738853503183,0.9287999268805411,0.01346535239245823,41.64772727272727,29.164218528995757,-0.040058910162002914
JEF,,,,12254477560,0.045901555259430696,0.08050525907192747,0.5675530092562155,0.34314267577669877,0.17548172893255942,0.04880074655973177,-0.17570723065393723,2.246647563201817,0.1972510334989882,2.4337244340302444,-0.13929471832987714,19.426621160409557,32.00407267281354,-0.18324323299000356
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,13160517650,0.16146667264699888,0.20862739141562284,0.4136299812692047,0.23254695827843333,0.21252148791190434,0.07810349995475585,0.10935831631617998,0,54.485054608162486,1.2719006166664177,0.04469018739547832,28.873397435897434,22.961526687356585,-0.03378697924216756
JLL,Jones Lang LaSalle Incorporated,Real Estate,Real Estate - Services,15932190970.000002,0.06214863897039691,0.09726345105397396,0.6244937313971244,0.04104674171965324,0.024528157043963023,0.07760454363568403,-0.029279417623253035,0.4484325851682039,10.934762348555452,7.490425218501424,0.06141653723850637,20.11177525403467,15.935899573851529,-0.07003554804878531
